IGAD - Dekadal Combined Drought Indicators,
IGAD Climate Prediction and Applications Center (ICPAC),
a4b03cea-0d2f-4197-bcdd-dc02d301023c,IGAD Region - Dekadal Combined Drought Indicator (CDI) 2024
86c9a5ef-2d9f-4f8d-a712-550f21c1bcb6,IGAD Region - Dekadal Combined Drought Indicator (CDI) 2020
fb8c1bd0-6159-44b5-9964-6fb13a6cc212,IGAD Region - Monthly Combined Drought Indicator (CDI) 2020
29b81ce2-84fe-47f7-aa54-77fcb3e029d9,IGAD Region - Dekadal Combined Drought Indicator (CDI) 2021
3145b987-5635-42c0-9355-6bd7d3069942,IGAD Region - Monthly Combined Drought Indicator (CDI) 2021
8b6518cc-bc06-497f-8f6b-a3857594d47b,IGAD Region - Monthly Combined Drought Indicator (CDI) 2024
97900d06-83fe-41dc-98ef-4323dc8012a3,IGAD Region - Monthly Combined Drought Indicator(CDI) 2023
6ca5a8f0-a369-4113-b092-224233bb5f7e,IGAD Region - Dekadal Combined Drought Indicator(CDI) 2023
0bd45d67-034d-45b7-b48e-c7e0a74b030a,IGAD Region - Dekadal Combined Drought Indicator(CDI) 2022
87cfda06-a2a0-420f-870b-9964fa2514ef,IGAD Region - Monthly Combined Drought Indicator(CDI) 2022
