Crosscut -  Settlement Catchment Areas,
Crosscut,
58b02de8-cdad-477f-9fcf-b3251677e0d6,Democratic Republic of the Congo - Settlement catchment areas
b81b4be2-8fa9-47b8-9dcc-ea0cb96a0319,South Sudan - Settlement catchment areas
f16c6349-e473-4027-918a-cb23ae922299,Pakistan - Settlement Catchment Areas
9649ce9e-8e1e-412d-8ba7-f6db6bd0ecb0,Niger - Settlement catchment areas
5ba0fe1c-2298-48d5-b3d5-da1b50f8d082,Chad - Settlement catchment areas
49fea520-3393-4f64-bf16-a0ad2725dc09,Afghanistan - Settlement catchment areas
0b946ddd-ead3-4b30-9cd9-d27be63ee57c,Central African Republic - Settlement Catchment Areas
d5cad32a-45af-46e5-9f33-6b0a7abdc3de,Zambia - Settlement catchment areas
23b5b947-0ba5-4084-803f-b4c7c22823be,Madagascar - Settlement catchment areas
4a051d8f-9401-423c-a52e-fff5d1787840,Ethiopia - Settlement catchment areas
2b492658-d4a2-47a2-9ae3-867000176054,Sierra Leone - Settlement catchment areas
6ea005c2-d79b-4259-83d7-cb38e43919ba,Côte d'Ivoire - Settlement catchment areas
335e0564-7837-420c-9e7a-8df759431fbc,Malawi - Settlement catchment areas
274a0d2b-884e-4ac4-90f1-368bf3493c89,Rwanda - Settlement catchment areas
60166563-ee77-4836-9b36-b28286661e90,Uganda - Settlement catchment areas
149c5bc8-8dbb-47a6-a2e1-9d3289387438,Ghana - Catchment areas
6bb02296-89ad-4a69-8ce0-2aed3b0d8e00,Eswatini - Settlements
