HDX HAPI - Data by Country,
HDX|HDX|HDX|HDX|HDX|HDX,
1427eca1-3a5d-45fd-b68b-b8263ed504b3,HDX HAPI Data for United Republic of Tanzania
14b033d1-7f18-4665-8f71-2dd5f1489a69,HDX HAPI Data for Kyrgyzstan
162916ae-f71c-4a2e-81d1-554f7997d639,HDX HAPI Data for Côte d'Ivoire
21e30d53-c374-4a04-b16c-9de432f9e452,HDX HAPI Data for Angola
22e48843-df58-47a0-bd60-e29d9cc19400,HDX HAPI Data for Gambia
29920860-1e53-41a8-b3ac-99804957fdba,HDX HAPI Data for Peru
2bd73c25-226b-469f-945e-13b5f621ba86,HDX HAPI Data for Nicaragua
2c8db591-b81d-49fe-ba81-c605823f0ff2,HDX HAPI Data for Mozambique
2ee1fc19-b0cb-455a-a80f-6870afa7527f,HDX HAPI Data for Jamaica
30e55df4-90bd-4a9f-b19a-70daa86ba908,HDX HAPI Data for Kiribati
316754c2-2d57-4436-a554-8b726b4c82d5,HDX HAPI Data for Central African Republic
3ba4208a-4e5e-4bdd-926c-665e5ab9b7a9,HDX HAPI Data for Kenya
3c59e813-9435-473c-9786-52b3a6b2b2db,HDX HAPI Data for Bangladesh
40967dfb-a109-497d-95a7-859d517a7a61,HDX HAPI Data for Zambia
42832522-3e92-48a1-aa50-a6e36313449c,HDX HAPI Data for Niger
4395d978-70c8-4e9c-a3f7-13d46410f5ae,HDX HAPI Data for Georgia
45fac020-129a-4dd4-bd15-c030fb6430fe,HDX HAPI Data for Bolivia (Plurinational State of)
46756f8b-12d1-43ca-9f38-f45f7a5b2844,HDX HAPI Data for Senegal
467b17ce-0578-457d-a19f-e3708dd3c987,HDX HAPI Data for Lao People's Democratic Republic
46cf296f-2bc3-4bc3-a44b-b87baa9798bb,HDX HAPI Data for Ecuador
47f063fa-6cb3-484e-b361-3a8d277b65ad,HDX HAPI Data for Mongolia
4bdc0910-2f7a-4038-b192-32522b5f4d9a,HDX HAPI Data for Ethiopia
4f15091b-5d60-4eee-a9bf-53fa7ef0b597,HDX HAPI Data for Liberia
51f32d92-8dfe-4ca7-b913-70f19292d68d,HDX HAPI Data for Haiti
52f4ef45-eb23-4066-aa8d-a0fd07f6063a,HDX HAPI Data for Nepal
58339888-5694-47a0-b3fd-9f5a967d580d,HDX HAPI Data for Fiji
5cf23910-32ee-4521-b58d-b9eca5115af2,HDX HAPI Data for Maldives
5d5bd550-a1b6-4aea-9fbb-8450a5a666c3,HDX HAPI Data for Indonesia
6640a73e-95ec-423b-987e-f0fc4a4ae69b,HDX HAPI Data for Ghana
67f6073e-7704-4caa-be3f-04ca2dfb6e03,HDX HAPI Data for Sao Tome and Principe
680124d5-fc1c-4b2c-bd68-4351e3a51566,HDX HAPI Data for Tonga
6bf11c0d-6e26-4085-8e3b-29a6d5957274,HDX HAPI Data for Sri Lanka
6c093977-569e-47b5-a91f-018ce3089fa5,HDX HAPI Data for Mali
6c655bc3-b21b-4643-892f-def733eca1e8,HDX HAPI Data for Eswatini
6cf57d1d-bdc8-4fae-9b00-6e41e6681557,HDX HAPI Data for Namibia
6d9555aa-af69-471c-b62d-fbb117ec6c4b,HDX HAPI Data for Benin
7264cb8e-d5d1-470c-ab64-9cb3cab81321,HDX HAPI Data for Uganda
7c33899a-a53c-46dd-ab75-025ab728d377,HDX HAPI Data for Tajikistan
7e86ca0e-f129-4ae4-b462-6b25b7fe92b8,HDX HAPI Data for Viet Nam
80e2fbfc-f027-4b3a-be07-bcd6ae25cb8a,HDX HAPI Data for Rwanda
81f364e0-cd2c-4ae7-8002-fac24c20cbfb,HDX HAPI Data for Dominican Republic
83d1a95c-1445-47e7-94e6-219e78f50083,HDX HAPI Data for Sierra Leone
8c08e457-c0c7-404b-ab5a-201539a7fbc1,HDX HAPI Data for Sudan
90d726d5-e7cf-4e0a-b279-1427ed82d7ab,HDX HAPI Data for Madagascar
9b277e94-bb37-4fb6-a29d-3639a9bbb5ea,HDX HAPI Data for Botswana
9f318398-4e5c-4521-be14-2d2fb8e8486e,HDX HAPI Data for Lesotho
aa2ce496-fb5e-4030-8fa3-70573671f52f,HDX HAPI Data for Republic of Moldova
adeb1776-66b5-4626-8467-22b2ed61361b,HDX HAPI Data for Saint Lucia
b0fcc6ba-03cf-415f-a254-531c47c864f0,HDX HAPI Data for Guinea
b541cd86-8eb5-48d5-87b0-a233a0f2bec7,HDX HAPI Data for Afghanistan
b8b50841-1f3a-4920-a81e-4c8b020c4d67,HDX HAPI Data for Philippines
bb97ac49-2777-4dca-8ac3-f7549ca70b56,HDX HAPI Data for Timor-Leste
c218a4ff-a0a5-4df3-ac7e-1d7aa0a2a96e,HDX HAPI Data for Mexico
c2711bfc-35f5-4caa-a134-8ea13c64205b,HDX HAPI Data for Belize
c2b70b68-4839-43b3-8e13-bd706e31f854,HDX HAPI Data for Morocco
c8a61f71-3703-4190-8ccf-c962b03827e9,HDX HAPI Data for Togo
cfa2d337-74bd-407a-9be2-fdaaf2ac8a97,HDX HAPI Data for Paraguay
d23583a9-1946-47cf-b516-2023b35a02b4,HDX HAPI Data for Nigeria
d42e4270-164b-40be-8c8c-d2e0c0444d4b,HDX HAPI Data for Iraq
d5c93a59-4f55-4c16-a10f-2c543395bd33,HDX HAPI Data for Cameroon
daff509c-32f2-47b1-bd59-42bb5a24c41b,HDX HAPI Data for Argentina
e66210e9-43c5-4912-a1b5-0fd7682e0c19,HDX HAPI Data for Mauritania
e93bbbbe-1e9c-4e73-8468-367b8fcdfdb2,HDX HAPI Data for Pakistan
e95d682f-bd3c-4526-91f4-aaea8ad55733,HDX HAPI Data for Comoros
f5141b69-919e-4883-9efd-39d3924c7d11,HDX HAPI Data for Democratic Republic of the Congo
fd10f526-e454-47d8-b9e2-e1785ebfeab0,HDX HAPI Data for Chad
fd39432d-e0c7-49f8-b729-682229d01bb8,HDX HAPI Data for Guatemala
