WHO - Health Indicators,
World Health Organization,
e4f2c64b-3a15-4e0e-8884-8cc4f2b6217d,United States Virgin Islands - Health Indicators
a38827b2-c6cd-4d69-b70a-c393f65fe719,New Caledonia - Health Indicators
aeaf8dad-5918-40dc-9072-b49fc4519c55,Martinique - Health Indicators
bc416481-9407-4af0-9a49-889979402e01,Northern Mariana Islands - Health Indicators
c2c4f912-24c4-434e-8ee8-d47be84ecc97,Liechtenstein - Health Indicators
56cbfce6-fdee-4539-be09-d3daff0a390c,Guam - Health Indicators
f010b2a5-bf40-4918-a646-0ed9d2adfb10,Guadeloupe - Health Indicators
82252cdf-ab5e-4be4-bb66-2437a9d73322,Cayman Islands - Health Indicators
0c5aa671-3f5f-42ac-9f4f-3685b6404cfa,Curaçao - Health Indicators
cba5fe8c-d003-4c9f-9a0e-5deeb4956345,"Bonaire, Sint Eustatius and Saba - Health Indicators"
60f2350c-b982-4a7f-a41e-7621daecc801,Aruba - Health Indicators
