Data for Children Collaborative - Travel Time to Nearest Health Centre,
Data for Children Collaborative,
7aaeb67d-514d-4ed0-8590-77a48dc6a354,Algeria Motorised Travel Time (in seconds) to nearest health centre
46be3e21-705d-4861-b273-176d35885bfc,Algeria Walking Travel Time to nearest Level IV health centre
f2d5f558-30d4-48df-b6ae-509c134951f5,Angola Motorised Travel Time (in seconds) to nearest health centre
0b0d36a6-d455-431b-b4a8-e11198c0b33c,Angola Walking Travel Time to nearest Level IV health centre
68be0951-c17d-4313-801a-16bd3d7e9fe1,Benin Motorised Travel Time (in seconds) to nearest health centre
c96b9202-0d30-4130-8d58-c8c938ec4aa4,Benin Walking Travel Time to nearest Level IV health centre
f175c220-2e47-4aea-89ca-5db1c50f92f9,Botswana Walking Travel Time to nearest Level IV health centre
ddeab831-fc74-46b0-873f-ebec7eb2bf1a,Burkina Faso Motorised Travel Time (in seconds) to nearest health centre
e14a1b22-737b-4d6b-89f2-4b96964cddfa,Burkina Faso Walking Travel Time to nearest Level IV health centre
f6028d50-c372-43d7-840b-4f05f6218915,Burundi Motorised Travel Time (in seconds) to nearest health centre
f71a03fa-66db-4e5d-98bd-c6c0d96bdd75,Burundi Walking Travel Time to nearest Level IV health centre
a598d289-33e2-4d99-9274-9ca349a10a9c,Cabo Verde Motorised Travel Time (in seconds) to nearest health centre
5b19fa28-ee89-4f1f-bc6d-8bc23fff5483,Cabo Verde Walking Travel Time to nearest Level IV health centre
2d267971-6e23-4516-8ab2-779cf31351ca,Cameroon Motorised Travel Time (in seconds) to nearest health centre
baba7ab3-3d2c-4b74-afc1-750faeaafee7,Cameroon Walking Travel Time to nearest Level IV health centre
1ab6d797-a7a3-4419-8800-ad3e339b984b,Central African Republic Motorised Travel Time (in seconds) to nearest health centre
602617ff-8f52-44ad-8e7b-bf86ed9d4564,Central African Republic Walking Travel Time to nearest Level IV health centre
cd0b4dac-f755-4595-9778-f7707c177311,Chad Motorised Travel Time (in seconds) to nearest health centre
6dfde005-2ed3-4ac3-8d19-0ab562b55cab,Chad Walking Travel Time to nearest Level IV health centre
df2d770c-d9a3-4194-a749-428561026126,Comoros Motorised Travel Time (in seconds) to nearest health centre
2c54bbef-3ac8-40b8-9c3c-c6288c50cb83,Comoros Walking Travel Time to nearest Level IV health centre
69d3ed1b-553e-4cc8-88dd-08687deb93f7,Congo Motorised Travel Time (in seconds) to nearest health centre
860169e7-71c7-41a1-9b0b-dd4c8322d87f,Congo Walking Travel Time to nearest Level IV health centre
2e3a711f-1600-4b69-8a26-21ab009dcd05,Côte d'Ivoire Motorised Travel Time (in seconds) to nearest health centre
4eacde00-cc3a-4879-839f-3e9d8359368a,Côte d'Ivoire Walking Travel Time to nearest Level IV health centre
dfff7907-2004-49b7-aa7f-7259f65383b9,Democratic Republic of the Congo Walking Travel Time to nearest Level IV health centre
2ecb9015-af61-4bd5-83ec-3b7b9cb794f3,Djibouti Motorised Travel Time (in seconds) to nearest health centre
6bcd3f52-4495-4f6a-ace1-462fbdf62586,Djibouti Walking Travel Time to nearest Level IV health centre
23486b58-52c5-45ca-9744-23db69b85d01,Egypt Motorised Travel Time (in seconds) to nearest health centre
9a739302-d516-48ba-a707-ac5f3e8776f6,Egypt Walking Travel Time to nearest Level IV health centre
e090504e-9e2c-4baa-839b-5df7920a2486,Equatorial Guinea Motorised Travel Time (in seconds) to nearest health centre
48f74eb8-6a25-4841-89a5-ecde6f7f1f10,Equatorial Guinea Walking Travel Time to nearest Level IV health centre
6d157320-7d88-4570-b709-0734f996c5a3,Eritrea Motorised Travel Time (in seconds) to nearest health centre
57e74667-5bd7-4296-8959-83a6166e9389,Eritrea Walking Travel Time to nearest Level IV health centre
0bb5b2a5-8f82-4c67-bb43-7dee36b4f6d8,Eswatini Motorised Travel Time (in seconds) to nearest health centre
8fc068c6-e498-4518-a954-787a682d3ea3,Eswatini Walking Travel Time to nearest Level IV health centre
487beead-b0ea-4083-b382-eff914f2ad90,Ethiopia Motorised Travel Time (in seconds) to nearest health centre
38949f26-bd8f-4d2d-bfac-16399d075afd,Ethiopia Walking Travel Time to nearest Level IV health centre
0d4dfe43-2cb5-4b02-a1f8-1ea1b52d06a0,Gabon Motorised Travel Time (in seconds) to nearest health centre
285816bb-ce4a-4c37-9439-0ca703fca6f5,Gabon Walking Travel Time to nearest Level IV health centre
b24859c7-b23b-4266-8dc3-c896c68181d4,Gambia Motorised Travel Time (in seconds) to nearest health centre
0f2f0bbd-6dc1-4d40-b5f6-b6837b854bf2,Gambia Walking Travel Time to nearest Level IV health centre
c4dc7505-f3b2-4bd1-b60f-f1111d52ff70,Ghana Motorised Travel Time (in seconds) to nearest health centre
a5b2bf27-a74c-4201-9831-ffcf516d3640,Ghana Walking Travel Time to nearest Level IV health centre
336ab255-1784-4823-8bc4-24b43db93b4a,Guinea Motorised Travel Time (in seconds) to nearest health centre
fff6d945-910a-4509-84c9-ec0bc2cb201b,Guinea Walking Travel Time to nearest Level IV health centre
f42f0d0f-4b8b-40e4-8d75-9322aff3fef9,Guinea-Bissau Motorised Travel Time (in seconds) to nearest health centre
0aea849e-3ca2-446d-9652-ae4ee610d510,Guinea-Bissau Walking Travel Time to nearest Level IV health centre
7e185439-bfad-48fa-9b66-a3af859f9a0c,Kenya Walking Travel Time to nearest Level IV health centre
6e0020a2-e299-44dc-a4e5-cdf8f6042b5c,Lesotho Motorised Travel Time (in seconds) to nearest health centre
d2d85c21-5d1f-4b13-962e-31fcd3b14cee,Lesotho Walking Travel Time to nearest Level IV health centre
32d5ab44-40ca-4edc-be7e-bec2060eab6b,Liberia Motorised Travel Time (in seconds) to nearest health centre
dda2302e-6f14-42fc-9b46-9cb78f97b3d7,Liberia Walking Travel Time to nearest Level IV health centre
b7b38f65-f6c0-44d5-afed-3290b9b94e7d,Libya Motorised Travel Time (in seconds) to nearest health centre
07b2da62-1d26-49f4-8d23-2a5108cce975,Libya Walking Travel Time to nearest Level IV health centre
8bf5642d-8d73-486f-a996-7f837bed266f,Madagascar Motorised Travel Time (in seconds) to nearest health centre
28a9acc5-0fd8-44fd-9f98-708d43ba0538,Madagascar Walking Travel Time to nearest Level IV health centre
67d40145-306d-4942-9f8c-6d3348ed1cee,Malawi Motorised Travel Time (in seconds) to nearest health centre
05cee0e2-0e05-427f-95f1-9db6e4262882,Malawi Walking Travel Time to nearest Level IV health centre
bc29d263-ba81-4c56-9cb0-6f589591a59b,Mali Motorised Travel Time (in seconds) to nearest health centre
a0377818-d93a-43b5-8fc5-d0726a83bef2,Mali Walking Travel Time to nearest Level IV health centre
b8b28884-9ab4-4945-83db-d58af3739305,Mauritania Motorised Travel Time (in seconds) to nearest health centre
60eb886a-c69f-4385-9785-587bebc64ed6,Mauritania Walking Travel Time to nearest Level IV health centre
3ff43bd2-cf5d-416a-a251-05f02363e1ba,Mauritius Motorised Travel Time (in seconds) to nearest health centre
7f63d262-1881-4ccb-8341-ad56e31aa166,Mauritius Walking Travel Time to nearest Level IV health centre
de353ef7-0a9e-44fc-aac7-745a105279aa,Morocco Motorised Travel Time (in seconds) to nearest health centre
b23939ae-e620-4ae8-810a-e50f7866de3e,Morocco Walking Travel Time to nearest Level IV health centre
ef39cd82-c198-4e73-b89d-dd329415029d,Mozambique Walking Travel Time to nearest Level IV health centre
2c2c2184-9085-4fbe-bf9b-51c0241c44d7,Namibia Walking Travel Time to nearest Level IV health centre
52a64698-acca-40fb-89d9-a26a8f34a43e,Niger Motorised Travel Time (in seconds) to nearest health centre
0b9209d1-c9fe-4606-a4b7-ee3fe4251acc,Niger Walking Travel Time to nearest Level IV health centre
59da83ee-9e35-46d9-b3ea-9b900347175f,Nigeria Motorised Travel Time (in seconds) to nearest health centre
a7d661eb-eb4c-4509-b105-d168e4809af0,Nigeria Walking Travel Time to nearest Level IV health centre
4b46f418-d4e3-4550-b58b-e739ed8b5605,Rwanda Motorised Travel Time (in seconds) to nearest health centre
27d846b5-423b-4e43-b03e-c7a9fab10c89,Rwanda Walking Travel Time to nearest Level IV health centre
17de5da3-031e-49fa-9f83-3ba96d943019,Sao Tome and Principe Motorised Travel Time (in seconds) to nearest health centre
956826a7-fa45-44a4-b0d0-31d683b93bab,Sao Tome and Principe Walking Travel Time to nearest Level IV health centre
52340400-7a7d-4daa-b421-faa76bdcaf25,Senegal Motorised Travel Time (in seconds) to nearest health centre
167c0d2a-eca0-4b4b-bc79-4730f7abc78d,Senegal Walking Travel Time to nearest Level IV health centre
e2a515d1-653e-45eb-8519-ed03afa62412,Seychelles Motorised Travel Time (in seconds) to nearest health centre
84edb623-9f7e-44e8-b618-ee24f08fefda,Seychelles Walking Travel Time to nearest Level IV health centre
86f20a37-53f6-499e-ad79-3072c64cecc9,Sierra Leone Motorised Travel Time (in seconds) to nearest health centre
1f9dba7f-be95-457a-b232-c276098c67cc,Sierra Leone Walking Travel Time to nearest Level IV health centre
172adef2-d117-44c5-910a-97ba254ae1a8,Somalia Motorised Travel Time (in seconds) to nearest health centre
3d887b69-2e75-426d-a8b9-a4dabfb7568e,Somalia Walking Travel Time to nearest Level IV health centre
effe922c-b80a-44fd-b99d-145a94181b72,South Africa Walking Travel Time to nearest Level IV health centre
8b90c814-d0b8-4271-b2d8-b5748ecece33,South Sudan Motorised Travel Time (in seconds) to nearest health centre
a84d3f01-b221-4674-8983-dfa9d1a53c6f,South Sudan Walking Travel Time to nearest Level IV health centre
49a635bc-bbb7-4bb4-acf0-440b28bd12a4,Sudan Motorised Travel Time (in seconds) to nearest health centre
d710c359-fe21-4a14-9da9-244e1bfa1bad,Sudan Walking Travel Time to nearest Level IV health centre
e0d4bc63-2020-4a68-b186-e484227d574f,Togo Motorised Travel Time (in seconds) to nearest health centre
2fc761e8-fbb4-479b-bc0c-c20ea5cf0cc5,Togo Walking Travel Time to nearest Level IV health centre
c764ecb1-8bad-4d26-9026-b275f8edd689,Tunisia Motorised Travel Time (in seconds) to nearest health centre
92acc6df-0df5-46bd-b00d-88479750d1df,Tunisia Walking Travel Time to nearest Level IV health centre
c7cb9b86-2ca9-466e-bc1b-4a089f4e4b5c,United Republic of Tanzania Walking Travel Time to nearest Level IV health centre
8345eb0a-fef9-4563-8f67-5785b5190015,Zambia Walking Travel Time to nearest Level IV health centre
74e25e2a-cd19-4524-a142-d04051dc638d,Zimbabwe Walking Travel Time to nearest Level IV health centre
