"Copernicus Global Human Settlement Layer (GHSL), country data",
Copernicus,
f650a423-8975-401e-99f6-1fbc08e5c85c,Antigua and Barbuda: Copernicus Global Human Settlement Layer (GHSL)
399d204f-f727-4dfd-8eab-fd39ddf9649b,French Southern Territories: Copernicus Global Human Settlement Layer (GHSL)
9f97ea1d-3153-48ea-b874-1b017465c82f,American Samoa: Copernicus Global Human Settlement Layer (GHSL)
584d12b2-1041-4864-9907-95c9b0e2b0c7,Armenia: Copernicus Global Human Settlement Layer (GHSL)
0dcfc793-13f1-41c7-ae18-b5cf3ced5e2e,Argentina: Copernicus Global Human Settlement Layer (GHSL)
f689c07d-22a2-4082-a409-406dfc517f04,United Arab Emirates: Copernicus Global Human Settlement Layer (GHSL)
7df02608-1f14-45cb-82c9-946c847308e1,Andorra: Copernicus Global Human Settlement Layer (GHSL)
b8ac015a-8495-4542-bdb3-63625dc30d5c,Albania: Copernicus Global Human Settlement Layer (GHSL)
0174cdbb-09ec-40e8-9510-53c714611943,Anguilla: Copernicus Global Human Settlement Layer (GHSL)
d4f0d1c7-c772-409e-a395-faeadda616f2,Angola: Copernicus Global Human Settlement Layer (GHSL)
2e35998b-e55e-41f2-a54c-17b3fa5927d3,Afghanistan: Copernicus Global Human Settlement Layer (GHSL)
6e892d37-1fde-4222-ab60-3db7cda1a5d9,Aruba: Copernicus Global Human Settlement Layer (GHSL)
9befff21-f81d-43f1-9fcb-15b09a5f9103,Zimbabwe: Copernicus Global Human Settlement Layer (GHSL)
197519c2-a3b6-4551-991e-655f7e3e8bd4,Zambia: Copernicus Global Human Settlement Layer (GHSL)
3893356f-0aee-4757-975b-4985a00cab72,South Africa: Copernicus Global Human Settlement Layer (GHSL)
4350bff4-1d2e-49d9-91f9-faa2593f3c87,Yemen: Copernicus Global Human Settlement Layer (GHSL)
6509e3a0-466a-48b7-b82e-c1f3eea24389,Samoa: Copernicus Global Human Settlement Layer (GHSL)
27df5623-70ea-4557-91b8-79ea2187013e,Vanuatu: Copernicus Global Human Settlement Layer (GHSL)
aecd23d5-2319-4ae5-9dde-bbaaba22ed86,Viet Nam: Copernicus Global Human Settlement Layer (GHSL)
67022a89-66cd-4c78-a1b6-48ba5df9b7f2,United States Virgin Islands: Copernicus Global Human Settlement Layer (GHSL)
8b592dc8-00cf-4b13-b129-e186e3cc094d,British Virgin Islands: Copernicus Global Human Settlement Layer (GHSL)
eb38978a-9e62-4c86-bf1f-1c1a66afa5d5,Venezuela (Bolivarian Republic of): Copernicus Global Human Settlement Layer (GHSL)
2a40b337-5e68-4e58-8023-103110ec3cd2,Saint Vincent and the Grenadines: Copernicus Global Human Settlement Layer (GHSL)
04576796-d3b9-4ffa-9bc0-85a3c48ff712,Holy See: Copernicus Global Human Settlement Layer (GHSL)
5a40303f-48ee-4a73-98b4-0840a3d08846,Uzbekistan: Copernicus Global Human Settlement Layer (GHSL)
1710b681-4358-4d7b-877f-a874670c5a20,Uruguay: Copernicus Global Human Settlement Layer (GHSL)
15d74fa8-5c8f-40b6-97fc-5c6b2546bbb6,Ukraine: Copernicus Global Human Settlement Layer (GHSL)
ac5a3e79-61de-4757-b4d9-a77d83c088b2,Uganda: Copernicus Global Human Settlement Layer (GHSL)
2ce7a024-2bb7-44e5-80d1-3fc9a8174d1d,United Republic of Tanzania: Copernicus Global Human Settlement Layer (GHSL)
d713bc11-fdca-415a-bf1f-3a87355b149a,Taiwan (Province of China): Copernicus Global Human Settlement Layer (GHSL)
3b783dc4-eb4c-4164-a24a-59df95d32338,Tuvalu: Copernicus Global Human Settlement Layer (GHSL)
418260ae-b978-4a13-845e-b7b029173b2a,Türkiye: Copernicus Global Human Settlement Layer (GHSL)
627ad798-4181-4ea7-9e4f-f720b1d709be,Tunisia: Copernicus Global Human Settlement Layer (GHSL)
0392bbd9-ffac-443b-937c-3cb6263d786d,Trinidad and Tobago: Copernicus Global Human Settlement Layer (GHSL)
d0182ba5-d131-4762-8fac-f9e1a38e71c2,Tonga: Copernicus Global Human Settlement Layer (GHSL)
d3fb2e6f-6f7d-42f9-867d-178655a5eda5,Timor-Leste: Copernicus Global Human Settlement Layer (GHSL)
f19f282d-a1a3-4f40-b064-ff3a955a67c4,Turkmenistan: Copernicus Global Human Settlement Layer (GHSL)
24550605-9cb1-4cd9-bd4a-80ace0f9c45d,Tokelau: Copernicus Global Human Settlement Layer (GHSL)
e4adfc41-bd88-4cb8-9754-4a3d6af2c425,Tajikistan: Copernicus Global Human Settlement Layer (GHSL)
b7300061-19f0-4ba8-a562-c80024b60122,Thailand: Copernicus Global Human Settlement Layer (GHSL)
