Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,
Approved,,IFRC - Appeals,data series,International Federation of Red Cross and Red Crescent Societies (IFRC),6,273,755d9359-bfe3-434b-8675-3e50b3f57e0c,North Macedonia - IFRC Appeals,,,,
Exclude,"excluding because it is monthly, not dekadal",IGAD - Dekadal Combined Drought Indicators,data series,IGAD Climate Prediction and Applications Center (ICPAC),8,0,8bc0ebb6-6b9d-4f45-8455-80bc22db039e,IGAD Region - Monthly Combined Drought Indicator (CDI) 2025,,,,
Exclude,excluding the second one,GRID3 - Settlement Extents,data series,GRID3 (Geo-Referenced Infrastructure and Demographic Data for Development),1,0,af838671-b9a6-4ae9-8ed5-eea750b05597|37b29c11-c1bd-48fe-9e0f-a2f41ef77540,GRID3 NGA - Settlement Extents v3.1,GRID3 COD - Settlement Names v4.0,GRID3 SHN - Settlement Extents v3.0,,
Approved,,UN Peace and Security Data Hub - Peace and Security Data,data series,United Nations Peace and Security Data Hub|United Nations Peace and Security Data Hub,1,296,d8fb4dba-dc41-4afc-9050-a9dd663e804c,Peace and Security Pillar: United Nations Peace Mission Mandates Dataset (UNPMM),,,,
Exclude,"excluding, not MSNA",UNHCR - Multi-Sector Needs Assessment ,data series,UNHCR - The UN Refugee Agency,1,0,5cd36673-f04c-46c8-96bf-94afd5760fb9,Socio-Economic Insights Survey (SEIS) - 2024,,,,
Approved,,UNHCR - High Frequency Survey,data series,UNHCR - The UN Refugee Agency,43,78,f7ef166a-b2a6-411f-bdaf-4b08478cbf8a|66f29834-ad4e-4905-aa3b-b4ea7fa5eeb5|b2d7b3e1-528b-48d1-b601-26a12f4a8fea|b0de3ba2-1ba9-4f2b-858d-b561c92b04f4|4b165d30-12d2-483b-a036-158bddd5f8f4|73816510-e1cb-4df8-9fa9-b35321264a06,Lebanon - High Frequency Survey - Q2 2023,Lebanon - High Frequency Survey - Q4 2023,Lebanon - High Frequency Survey - Q2 2024,Lebanon - High Frequency Survey - Q1 2024,Lebanon - High Frequency Survey - Q3 2023
Approved,,UNHCR - Post Distribution Monitoring of Non-Food Items,data series,UNHCR - The UN Refugee Agency,6,93,22b16dbd-f5f5-4626-adb0-ea364eaf32ff,"Bangladesh - Post-Distribution Monitoring of In-Kind Assistance, 2024",,,,
Exclude,,,,,,0,441d3920-ab67-4b1a-bbd7-7dc7bfd7541c,,,,,
Exclude,,,,,,0,53b686ce-c4fd-4ff9-87e2-79f181f722e5,,,,,
Exclude,,,,,,0,c3b8a946-ee57-4be3-bc7f-5b626338617b,,,,,
Exclude,,,,,,0,ab4b5bbc-6fe5-4382-9e39-11bff8ee8cef,,,,,
Exclude,,,,,,0,8822b2a7-1da6-4da0-a509-12d438013244,,,,,
Exclude,,,,,,0,078349cb-57dd-4813-91c6-0d20c37af7ea,,,,,
Exclude,,,,,,0,73ffe2b7-1108-4ca8-8ce5-3f68a8488f21,,,,,
Exclude,,,,,,0,1c2611a0-0aac-4bd2-bbb7-31c771639357,,,,,
Exclude,,,,,,0,fbaa7fdc-5b84-4efe-8a81-d1d14b159e29,,,,,
Exclude,,,,,,0,09916fbe-aa34-4738-a810-d7e197b34f38,,,,,
Exclude,,,,,,0,33100b66-8ad0-414b-b32d-e6daa017c0b6,,,,,
Exclude,,,,,,0,89c24208-2f28-4557-9e6b-880a19387df0,,,,,
Exclude,,,,,,0,e087bb28-1b9f-4bae-a9e5-51d293ab6638,,,,,
Exclude,,,,,,0,e88a3788-5038-4b6f-b759-7e857981e228,,,,,
Exclude,,,,,,0,0237ef0f-bf1e-4676-94e2-4a9fc1fcb71a,,,,,
Exclude,,,,,,0,100d065d-1993-428c-a671-a8eac1ebc1b0,,,,,
Exclude,,,,,,0,fa43bbfa-0c54-4fb0-a951-3342ea55fe09,,,,,
Exclude,,,,,,0,bec280d1-7e06-413f-9044-fd6c51d6e77f,,,,,
Exclude,,,,,,0,e88a3788-5038-4b6f-b759-7e857981e228,,,,,
Exclude,,,,,,0,0237ef0f-bf1e-4676-94e2-4a9fc1fcb71a,,,,,
Exclude,,,,,,0,100d065d-1993-428c-a671-a8eac1ebc1b0,,,,,
Exclude,,,,,,0,fa43bbfa-0c54-4fb0-a951-3342ea55fe09,,,,,
Exclude,,,,,,0,bec280d1-7e06-413f-9044-fd6c51d6e77f,,,,,
Exclude,,,,,,0,84b49b9d-e161-4456-a79c-a4f29300b0f9,,,,,
Exclude,,,,,,0,ffbf8f87-879c-4b23-ad7f-884c9ed04c1c,,,,,
Exclude,,,,,,0,69fc2f54-81d2-4e7b-9992-470dabaed2a0,,,,,
Exclude,,,,,,0,63253092-86f3-44d6-b730-94dcf41e8503,,,,,
Exclude,,,,,,0,e5c9f268-0528-48b7-99f2-909f5ed1d6a2,,,,,
Exclude,,,,,,0,3195a7cb-62ae-4bfc-b3e3-bf76328fbaad,,,,,
Exclude,,,,,,0,64ea7424-7b9d-4907-bc17-34411c875c5a,,,,,
Exclude,,,,,,0,bbc47914-bb57-4bc4-91bc-33514254b669,,,,,
Exclude,,,,,,0,eaae1e1e-8f26-4f1a-b37c-c3eb6bd17f64,,,,,
Exclude,,,,,,0,2b67370f-802e-4b39-b28b-e16a8d52eb2d,,,,,
Exclude,,,,,,0,0b653b71-08f7-42cf-a245-e0304ac0d2cb,,,,,
Exclude,,,,,,0,07028a87-58d0-4e78-a690-3d6e27c103d6,,,,,
Exclude,,,,,,0,983c74d3-db47-4016-9a58-877036088d9d,,,,,
Exclude,,,,,,0,ff830ff5-3fc3-4768-801a-9d008013118b,,,,,
Exclude,,,,,,0,c685f49a-77cf-4ef0-bf0a-344d04034194,,,,,
Exclude,,,,,,0,88fd3322-0249-425d-849d-d6134046e354,,,,,
Exclude,,,,,,0,a6c0c2d2-90f4-4830-9a60-1029efcf2476,,,,,
Exclude,,,,,,0,26d64f29-93a9-4e6d-81a1-64070df76a0d,,,,,
Exclude,,,,,,0,307bf0aa-22d1-4cc0-bbe5-0fe90bbfa130,,,,,
Exclude,,,,,,0,25f01a3a-d065-4fd4-9bdf-6c1eb10d7457,,,,,
Exclude,,,,,,0,a0765ee1-9a5b-4ddf-ba2c-cf2f706534a9,,,,,
Exclude,,,,,,0,7badf2c0-99a5-41bc-9405-cbaad75a556e,,,,,
Exclude,,,,,,0,cd150f14-5797-4c12-84b4-c23b121a0cc3,,,,,
Exclude,,,,,,0,122ffea7-2022-41c8-b969-a08713d4b61d,,,,,
Exclude,,,,,,0,085d0188-ab8d-4ae2-97ba-dae9513ec89c,,,,,
Exclude,,,,,,0,186c0cd4-86e5-49e7-8382-e3609ebb5bd2,,,,,
Exclude,,,,,,0,66496276-2925-4eb6-ab44-4da91aef110d,,,,,
Exclude,,,,,,0,4a98efdb-3e8e-4412-b077-a0e5ecee16f2,,,,,
Exclude,,,,,,0,2dc69db0-4b13-4944-82a4-970d542b1cc0,,,,,
Exclude,,,,,,0,eeeef33b-ed36-45c6-bff0-7965e0b9a3f2,,,,,
Exclude,,,,,,0,a67e90fb-b68f-4e15-8d22-4e923e4da6e5,,,,,
Exclude,,,,,,0,46ef52d2-395a-4a67-bb40-52345d539ac4,,,,,
Exclude,,,,,,0,0436e92a-b0d2-4e7d-942b-ab67529c2f69,,,,,
Exclude,,,,,,0,f23e2228-1740-4ebc-a59c-1746dd5527e7,,,,,
Exclude,,,,,,0,9ec34725-4fb4-4c05-bd99-7143fa3696e3,,,,,
Exclude,,,,,,0,43010783-0e4f-4a7e-ad9f-7b90f9782482,,,,,
Exclude,,,,,,0,92fc8399-06ee-4382-b9e1-b2d218673c6c,,,,,
Exclude,,,,,,0,8c852a49-9721-4ce2-898c-848a560aff01,,,,,
Exclude,,,,,,0,f4e853b0-d9b2-4b85-9c73-8b64f52f4db7,,,,,
Exclude,,,,,,0,24ec63ae-ad63-40d2-a8d0-43f247aa751a,,,,,
Exclude,,,,,,0,e5fa4bce-456f-436f-802b-4c3d479360e7,,,,,
Exclude,,,,,,0,3dabce55-f400-487a-8304-d53e4aabb710,,,,,
Exclude,,,,,,0,538b5fb7-6f66-4079-86f0-5879a7c99fda,,,,,
Exclude,,,,,,0,7905ccec-3442-4bfa-be90-961911019d3a,,,,,
Exclude,,,,,,0,e8e366ae-3d9d-44ff-b03a-db54c6199151,,,,,
Exclude,,,,,,0,15116edc-ac98-42f5-88f7-5ad30604c8c7,,,,,
Exclude,,,,,,0,fa37821f-b5ae-4912-8e08-13a1f0b70313,,,,,
Exclude,,,,,,0,3d05c773-4db6-4ce7-9c15-802227f7d6fc,,,,,
Exclude,,,,,,0,26d02e4f-7565-4146-8fcc-164b81251e80,,,,,
Exclude,,,,,,0,de492fa8-0e40-4dda-ac8f-e74627d46f91,,,,,
Exclude,,,,,,0,27bd4937-91ab-4bce-b50a-32b102551bc3,,,,,
Exclude,,,,,,0,1e8e3836-356a-4bd8-b3f9-da446472bff0,,,,,
Exclude,,,,,,0,0263a642-a03c-42e8-ba45-79de459f8f41,,,,,
Exclude,,,,,,0,9d3026c2-ee7d-4b87-9374-ed2bf075610f,,,,,
Exclude,,,,,,0,133cc44f-9ca5-4c12-bcf6-6504b3d56f5b,,,,,
Exclude,,,,,,0,c8172874-a2f1-47ec-a23b-dcbb41ed51d8,,,,,
Exclude,,,,,,0,7f9cc0b4-6749-4afd-be72-ab44119f2444,,,,,
Exclude,,,,,,0,f6865fed-449f-4fba-8539-9c015fbabb91,,,,,
Exclude,,,,,,0,f2968339-02ae-42c3-aef3-7c1b60fd825f,,,,,
Exclude,,,,,,0,5689af36-a6c9-4f3e-a777-a1da29f5318e,,,,,
Exclude,,,,,,0,a7c7c4a8-fd9d-44cf-9542-9f9275dd47ef,,,,,
Exclude,,,,,,0,3720380d-ab3a-4fa6-933c-60d673af0176,,,,,
Exclude,,,,,,0,6f221b67-acb3-456d-ab8b-8bf5b7db85dc,,,,,
Exclude,,,,,,0,e80940a4-cb16-4632-a407-b045aa214f7f,,,,,
Exclude,,,,,,0,41cd211e-8e77-4218-a52d-adc5dd7d23f6,,,,,
Exclude,,,,,,0,4a2a6db3-8f1b-4e17-973c-30ddf6b9c96a,,,,,
Exclude,,,,,,0,7e328229-cf94-497f-b8f7-4e762bd7be46,,,,,
Exclude,,,,,,0,f688e8c3-1256-4a85-9ea4-c4436511d203,,,,,
Exclude,,,,,,0,1cd931c3-42b8-4ce3-b398-a19ec5356823,,,,,
Exclude,,,,,,0,d8ba328a-6e6f-430a-8ec4-46ad9995b436,,,,,
Exclude,,,,,,0,62b2af6d-31d4-40d9-9902-215196e0cb32,,,,,
Exclude,,,,,,0,369aac7b-0a54-45fb-b5d9-292f23180ea1,,,,,
Exclude,,,,,,0,5e8def8f-8633-4abb-a3ac-9eea9db93db7,,,,,
Exclude,,,,,,0,cb6aedaf-8c47-4392-b45d-bf4773621b89,,,,,
Exclude,,,,,,0,7e5e30c1-bdd3-415b-9819-853dd1008a9f,,,,,
Exclude,,,,,,0,bf2f965f-b265-4cff-9caf-cec63c60ac0c,,,,,
Exclude,,,,,,0,b183bc24-5fa0-416a-8b0c-73f364492ffc,,,,,
Exclude,,,,,,0,987c15d1-6d0a-4f50-b97f-984248b04cd7,,,,,
Exclude,,,,,,0,da9abfb8-90e6-461d-98ac-998865405176,,,,,
Exclude,,,,,,0,aee215bb-11ca-40fc-8972-6bb6d5364a7c,,,,,
Exclude,,,,,,0,0c8d4e3b-244a-4e62-8350-037f528e14d1,,,,,
Exclude,,,,,,0,7353993d-0b17-4bc0-9f58-f6b89d473c35,,,,,
Exclude,,,,,,0,8896323e-4b0d-4dbc-a1a1-ba01ee9360a9,,,,,
Exclude,,,,,,0,0dc14f55-734d-47e2-88b6-7e97308d8452,,,,,
Exclude,,,,,,0,78b216c2-6b7c-420f-b009-7fe5a53a7e57,,,,,
Exclude,,,,,,0,63333099-791a-4cba-9b65-7c61d973b32f,,,,,
Exclude,,,,,,0,8c4dec7c-d4bf-44ea-a7ca-64b7e1455b26,,,,,
Exclude,,,,,,0,4808b6a4-ce42-4ae7-866b-69af6467b54b,,,,,
Exclude,,,,,,0,735756e5-2006-43a7-bbfd-c9aa9f7817a6,,,,,
Exclude,,,,,,0,a5701845-2864-4e16-9a0b-c6316d8c1509,,,,,
Exclude,,,,,,0,b79accee-e804-4036-9c05-488ef993a17a,,,,,
Exclude,,,,,,0,18794bd0-7605-43b9-aa44-d2ac96254187,,,,,
Exclude,,,,,,0,5b40f5f6-a381-4631-95ba-9c20ee9c6d79,,,,,
Exclude,,,,,,0,2ba752f7-b323-4f97-ae31-52496f04fe44,,,,,
Exclude,,,,,,0,681e261b-2aa1-4a46-b234-123d6ab56941,,,,,
Exclude,,,,,,0,a632a3fd-5161-4201-8302-78724416e007,,,,,
Exclude,,,,,,0,ce0dc6c5-d3dd-4ac2-8585-0deb20210c14,,,,,
Exclude,,,,,,0,a2b0bdc8-b6ad-4bba-abf8-4157ab147a53,,,,,
Exclude,,,,,,0,0f447f46-dbbc-438b-b094-e1df32f9b117,,,,,
Exclude,,,,,,0,7bbe2e01-d452-418a-b9fc-cba818c7bd5e,,,,,
Exclude,,,,,,0,9abcee52-5117-4885-a436-4a790612a2db,,,,,
Exclude,,,,,,0,ba4db866-e9ac-4d3d-a948-19351133729f,,,,,
Exclude,,,,,,0,729c2573-00a5-4d5c-b59c-c9aac4f18192,,,,,
