Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,,,,,,,,,,,,,,,,,
Approve,,IDMC - Internal Displacement Updates,data series,Internal Displacement Monitoring Centre (IDMC),1,290,f7fddb06-32b2-48e3-907d-05aac12aff06,Honduras - Internal Displacements Updates (IDU) (event data),,,,,,,,,,,,,,,,,,,,,
Approve,,OCHA FTS - Requirements and Funding Data,data series,OCHA Financial Tracking System (FTS)|OCHA Financial Tracking System (FTS),222,4,b2bbb33c-2cfb-4809-8dd3-6bbdc080cbb9|59799e39-8f15-4868-a7e5-98647adee457,Global - Requirements and Funding Data,Dominican Republic - Requirements and Funding Data,,,,,,,,,,,,,,,,,,,,
Approve,,OCHA FTS - Humanitarian Response Plan Projects,data series,OCHA Humanitarian Programme Cycle Tools (HPC Tools),48,8,68572af5-aabe-4548-9ba0-d5c40ede60f2|bca046c5-0e89-4498-9caa-453cc8f7ae3a|d031e655-e3ed-415e-ac59-b8b48aa4a9f4|e6b0d036-fe83-43ad-8f24-6f2164404217|645a0f1a-cb5b-4a58-9dba-6617bdb045f9|5c7b00a1-bb35-4a66-8a44-c8dcf16ea2b4|6f4d5f6f-d090-4851-b0b5-f526754576a6|4dbc7fac-5768-4035-af40-cc547ea02d00|e0d01cb4-e3d1-4a2b-ba42-8d9effe1bcd3|03fd2c23-f3da-4b36-9ce0-69b7040b2da0|2795bc19-2d68-46f3-8c19-d29599b28e83|1928b936-106f-4226-ab14-668e26335910|5b0e6ec8-5dad-47f0-b43f-6129b6cea35f|0cdd24e2-24cb-47b3-8d66-ada6331e1332|5ad8d573-5168-4a7e-94f4-82760317670c|25b0bd9f-c9e8-462c-a2c2-e6039c1acbaa|2b6ec4f0-e052-46c7-aa80-4c3d62aee668|24140d21-3b5b-4791-bb6a-b0fd559c2588|0d1e8298-73da-4c5b-8e4b-e5ae217634a1|75245c3d-cdb6-4294-b076-8333beec1ce8|beb776f6-7648-442d-857c-e3138f701fac|d8a9ad9d-a1f5-46a4-95fa-d19ebe061957,Turkmenistan: Response Plan projects,Tajikistan: Response Plan projects,Rwanda: Response Plan projects,Romania: Response Plan projects,Paraguay: Response Plan projects,Poland: Response Plan projects,Panama: Response Plan projects,Republic of Moldova: Response Plan projects,Latvia: Response Plan projects,Hungary: Response Plan projects,Guyana: Response Plan projects,Dominican Republic: Response Plan projects,Czechia: Response Plan projects,Curaçao: Response Plan projects,Costa Rica: Response Plan projects,Democratic Republic of the Congo: Response Plan projects,Chile: Response Plan projects,Bolivia (Plurinational State of): Response Plan projects,Bulgaria: Response Plan projects,Argentina: Response Plan projects,Angola: Response Plan projects,Aruba: Response Plan projects
Approve,,HOTOSM - Roads,data series,Humanitarian OpenStreetMap Team (HOT),384,24,cd57bbd7-e16e-4a6d-bec4-62a3f0cd0083,Kosovo Roads (OpenStreetMap Export),,,,,,,,,,,,,,,,,,,,,
Approve,Should we mix mapswipe with regular hotosm buildings? YES,HOTOSM - Buildings,data series,Humanitarian OpenStreetMap Team (HOT),378,14,1ea01276-3691-4961-b92c-c3107c0321de|f6a1beaa-1f4f-4dc0-bdd2-d7ad3591545d,Kosovo Buildings (OpenStreetMap Export),MapSwipe Results: Myanmar Built Up Areas,,,,,,,,,,,,,,,,,,,,
Approve,,IATI - Current IATI aid activities,data series,International Aid Transparency Initiative,242,53,3934aacc-531a-49cf-8f58-31c473b034e7|bb1c8dcb-b4bc-4125-99fa-637933842fb5|c857f295-512b-48ac-89d3-e87f1fdb1f97|ad6a57c6-54b4-462a-aeb2-dd8b80eaa373|823db0f4-5d6b-4ed5-9c23-6584d1868df1,Current IATI aid activities in South Georgia and the South Sandwich Islands,Current IATI aid activities in Jersey,Current IATI aid activities in Isle of Man,Current IATI aid activities in Guernsey,"Current IATI aid activities in Bonaire, Sint Eustatius and Saba",,,,,,,,,,,,,,,,,
Exclude,,Excluded datasets from clustering,excluded,United Nations Satellite Centre (UNOSAT),0,0,1c7037ae-1be3-4233-a15a-de8e429721a9|bb80f5b4-3634-44b6-8d0d-31a93e32ef52|71e82c5c-26b0-4e39-a1c6-718c43f152cf|efd5b469-2033-4c81-bd3e-631668cb6bcf|222e50c6-18b3-4047-a58e-3a873e99372b|bad93d38-e759-4efd-803a-f53eeb2cfbe9,"Damage Assessment in Monywa Township, Monywa District, Sagaing Region, Myanmar as of 25 April 2025",Satellite-detected Damage to Cultural Heritage in Tada-U as of 03 April 2025,Satellite-detected Damage the UNESCO Tentative List component Chiang Mai as of 29 March 2025,Satellite-detected Damage in the Cultural Property Mahamuni Pagoda as of 30 March 2025,Satellite-detected damage in the cultural property Pinya as of 30 March 2025,Satellite-detected damage to cultural heritage in Min Kun as of 03 April 2025,,,,,,,,,,,,,,,,
Exclude,,,,,,,0d563284-a840-4a17-872f-f74f08c46431,Ethiopia household Income -per cluster,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,a59ed1b5-a2fb-491e-b395-03d3dccdb8d8,Ethiopia   mobile  Ownership - Per cluster,,,,,,,,,,,,,,,,,,,,,
Exclude,,,,,,,1a2c049d-7da4-4bb0-8b1d-d51c57eaf4c5,Ethiopia Credit Services - per Cluster,,,,,,,,,,,,,,,,,,,,,
