Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,
Approved,,UN Peace and Security Data Hub - Peace and Security Data,data series,United Nations Peace and Security Data Hub|United Nations Peace and Security Data Hub,1,296,b90cf707-86fa-48c8-96e8-f3406f5f14f0,Peace and Security Pillar: UN Peacekeeping Budgets (2013-14 - 2024-25),
Approved,,HOTOSM - Buildings,data series,Humanitarian OpenStreetMap Team (HOT),378,14,ee3f750a-8389-4fec-8c2a-2da05351a14f,"Mokwa Town, Nigeria Buildings (OpenStreetMap Export)",
Exclude,No existing data series for this.,,,,,,2ec6661d-8c07-4ae8-b3a0-386886cf4eff,"Mokwa Town, Nigeria Power Lines (OpenStreetMap Export)",
Approved,,HOTOSM - Roads,data series,Humanitarian OpenStreetMap Team (HOT),384,none|24,bf1ce796-54c2-4353-a760-81acdfb1f102,"Mokwa Town, Nigeria Roads (OpenStreetMap Export)",
Approved,,HOTOSM - Waterways,data series,Humanitarian OpenStreetMap Team (HOT),385,none|23,3c376e91-c32e-4b64-828d-1a5c068f1d80,"Mokwa Town, Nigeria Waterways (OpenStreetMap Export)",
Approved,,HOTOSM - Points of Interest,data series,Humanitarian OpenStreetMap Team (HOT),385,none|22,434680ed-e0f3-41c8-85f6-019704226bf1,"Mokwa Town, Nigeria Points of Interest (OpenStreetMap Export)",
Approved,,HOTOSM - Railways,data series,Humanitarian OpenStreetMap Team (HOT),384,none|15,e5bc9651-dbec-4965-b69d-1440a9b35785,"Mokwa Town, Nigeria Railways (OpenStreetMap Export)",
Approved,,HOTOSM - Financial Services,data series,Humanitarian OpenStreetMap Team (HOT),385,none|16,0af94e7e-f225-462a-802a-a38e7ba99ff4,"Mokwa Town, Nigeria Financial Services (OpenStreetMap Export)",
Approved,,HOTOSM Populated Places,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),1,none|323,fb542741-524d-4a8f-adb3-36de1c5aabf7,"Mokwa Town, Nigeria Populated Places (OpenStreetMap Export)",
Approved,,HOTOSM - Health Facilities,data series,Humanitarian OpenStreetMap Team (HOT),384,none|18,27995b09-b571-42cd-bdef-e3ad8d8001dc,"Mokwa Town, Nigeria Health Facilities (OpenStreetMap Export)",
Approved,,HOTOSM - Education Facilities,data series,Humanitarian OpenStreetMap Team (HOT),385,none|19,f1aef18e-132e-453e-be1c-5371fca59b17,"Mokwa Town, Nigeria Education Facilities (OpenStreetMap Export)",
Approved,,HOTOSM - Sea Ports,data series,Humanitarian OpenStreetMap Team (HOT),385,none|20,fbed328b-8511-4304-b81d-0246cee75050,"Mokwa Town, Nigeria Sea Ports (OpenStreetMap Export)",
Approved,,HOTOSM - Airports,data series,Humanitarian OpenStreetMap Team (HOT),385,none|21,36b1f67e-0465-4ecc-8176-f19832611a3a,"Mokwa Town, Nigeria Airports (OpenStreetMap Export)",
Approved,,WHO - WHO Health Indicators,data series,World Health Organization,200,none|11,513f6a5b-5237-4947-8e37-a5da29f7d876|c9f6b00f-3b88-4dc6-935d-2827a57cca30,Saint Helena - Health Indicators,Isle of Man - Health Indicators
Approved,,UNHCR - High Frequency Survey,data series,UNHCR - The UN Refugee Agency,51,none|78,de1bf392-4753-43be-8e06-6ef2e287a59a,Colombia - High Frequency Survey - Q4 2024,
Approved,,WorldPop - Age and Sex Population Structures,data series,WorldPop,1,none|325,d39c0d09-3941-4210-9bbe-26dd07491f0b,Kosovo - Age and Sex Structures (2015-2030),
Approved,,IDMC - Internal Displacement Updates,,,,290,3c90a691-0b50-4915-a8cc-bf22d39c8ce6,South Africa - Internal Displacements Updates (IDU) (event data),
Approved,,IDMC - Internal Displacement Updates,,,,290,832355a4-de53-4b9d-9ef9-b1d5cf7026c7,Peru - Internal Displacements Updates (IDU) (event data),
Approved,,IDMC - Internal Displacement Updates,,,,290,89658b6a-8c36-463a-bf14-9f93314560f1,Brazil - Internal Displacements Updates (IDU) (event data),
Approved,,IDMC - Internal Displacement Updates,,,,290,c0b5efb3-adbf-4afa-8d2a-70e66b00291c,Argentina - Internal Displacements Updates (IDU) (event data),
