EM-DAT - Natural Hazard-related Events - Country Profiles,
Centre for Research on the Epidemiology of Disasters,
74163686-a029-4e27-8fbf-c5bfcd13f953,EM-DAT - Country Profiles
ba8a99b1-a9c4-4f5a-b16c-8d070f2c08f4,"EM-DAT - Country Profiles, Belize"
3201e1ac-90d6-41bd-aef2-94d4d909a8d3,"EM-DAT - Country Profiles, Rwanda"
6e0c633c-0596-45f7-91d0-a9d9b1d4328f,"EM-DAT - Country Profiles, Uruguay"
5f1caa90-bdfb-47eb-8597-105fe6eee59b,"EM-DAT - Country Profiles, Papua New Guinea"
cee3e0e5-f623-428f-9cbe-c1c2128d64a9,"EM-DAT - Country Profiles, Kyrgyzstan"
9910432e-291b-4f0a-a81a-12b076faa9f8,"EM-DAT - Country Profiles, China"
8c2b13b2-274e-4181-9645-25cf0fb8ae69,"EM-DAT - Country Profiles, United Kingdom of Great Britain and Northern Ireland"
42e23f8c-60b7-4e67-b3d7-100e34843bdf,"EM-DAT - Country Profiles, Indonesia"
905dc0ec-50cc-41fa-8f1f-2075f531e077,"EM-DAT - Country Profiles, El Salvador"
8d202d8a-02f8-40f9-87dd-fe701116a537,"EM-DAT - Country Profiles, Netherlands (Kingdom of the)"
bca72214-6169-4ec5-bf1f-1b659716a951,"EM-DAT - Country Profiles, Zambia"
b19ad193-68f5-4e8d-9101-7fbb613aa84b,"EM-DAT - Country Profiles, Ukraine"
fa75ea81-ae64-4df6-a145-cb6b846b118c,"EM-DAT - Country Profiles, Thailand"
333a3a84-bfc2-40e1-a871-5b487042df84,"EM-DAT - Country Profiles, Togo"
85155373-d18d-4528-b139-53672f552ee5,"EM-DAT - Country Profiles, Denmark"
bedc518f-2026-46cc-ac82-e0ea4bd1af23,"EM-DAT - Country Profiles, Ethiopia"
9e2ec9ae-8b7a-48fd-b4d0-5148a2a428b7,"EM-DAT - Country Profiles, Madagascar"
42abe33a-26a2-4b70-be84-eb3b6b69d1c7,"EM-DAT - Country Profiles, Syrian Arab Republic"
9f09ecdb-7b65-4206-b6df-fb20ff4f20df,"EM-DAT - Country Profiles, Peru"
5e4cb152-b8e8-49dd-b546-795e864f8d30,"EM-DAT - Country Profiles, Lithuania"
18f00c2b-539c-4d82-990a-746380f37f71,"EM-DAT - Country Profiles, Honduras"
15d65ad6-4fb6-421f-bf96-da1c46e47f2e,"EM-DAT - Country Profiles, Benin"
cc10a8d2-3d7d-4040-8c25-df93ffb292c2,"EM-DAT - Country Profiles, Mongolia"
25737f3d-0b20-4eb1-81e1-d6f89b00000a,"EM-DAT - Country Profiles, Italy"
