Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,
Approved,,OCHA FTS - Requirements and Funding Data,data series,OCHA Financial Tracking System (FTS)|OCHA Financial Tracking System (FTS)|OCHA Financial Tracking System (FTS),222,4,09a6fd98-143a-4c8d-aa97-231e8cdf79d0,Cape Verde - Requirements and Funding Data,,,,,
Approved,,PSA - Flood Monitoring,data series,The Philippine Space Agency|The Philippine Space Agency,60,327,534f4c03-1852-49ad-aecf-82dcdf630a27|b2379135-420d-4ae2-b0d4-bf5db54dc673|6d6b2606-f1b0-426d-b92d-a146e0344e65|de62b315-94b6-496e-a9d8-7cd24695dc93|eab2d281-3816-413f-8ad4-24bb18877a8f|36a5d82e-c43d-46e2-b6a3-bb1ae7a5a824,"Flooding in the Philippines on November 11, 2025","Flooding in the Philippines on November 06, 2025","Flooding in the Philippines on November 09, 2025","Flooding in the Philippines on November 10, 2025","Flooding in the Philippines on November 05, 2025","Flooding in the Philippines on November 04, 2025"
Approved,,IATI - Current IATI aid activities,data series,International Aid Transparency Initiative,242,53,c4da09f4-cf96-4ac1-883c-603bb5767e49,Saint Martin (French part) - Current IATI Aid Activities,,,,,
Approved,,UNHCR - Data on forcibly displaced populations and stateless persons,data series,UNHCR - The UN Refugee Agency,215,65,b3fd6b72-a0a8-4110-bcdd-d0424dba0942,Saint Martin (French part) - Data on forcibly displaced populations and stateless persons,,,,,
Approved,,Green Climate Fund - GCF Funded Activities,data series,Green Climate Fund,137,336,c3b0ec01-273a-4bba-a935-96b11b0b6016,Turkmenistan - GCF Funded Activities,,,,,
Approved,,World Bank - Economic Social Environmental Health Education Development and Energy,data series,World Bank Group|World Bank Group|World Bank Group,211,33,fa73ec93-16cc-49d5-82e7-dcc320f08641,"Somalia, Fed. Rep. - Economic, Social, Environmental, Health, Education, Development and Energy",,,,,
Approved,,World Bank - Trade,data series,World Bank Group,216,34,cce48e6e-acc9-4763-b945-2f0c57ec418d,"Somalia, Fed. Rep. - Trade",,,,,
Approved,,World Bank - Climate Change,data series,World Bank Group,217,36,b8f70ebe-1247-4f72-bcc4-8378a02fcba8,"Somalia, Fed. Rep. - Climate Change",,,,,
Approved,,World Bank - Gender,data series,World Bank Group,217,38,6c7bdb27-0146-4da5-8155-c7b25103be0c,"Somalia, Fed. Rep. - Gender",,,,,
Approved,,World Bank - Development,data series,World Bank Group,433,39,84809691-68ee-4387-8a6f-29ccb6e7493a|7346c4e0-3605-4445-9830-3b887acde9f3,"Somalia, Fed. Rep. - Urban Development","Somalia, Fed. Rep. - Social Development",,,,
Approved,,World Bank - Poverty,data series,World Bank Group,181,40,12b23d04-a37c-4dc1-a5a7-b3974b3c74ba,"Somalia, Fed. Rep. - Poverty",,,,,
Approved,,World Bank - Social Protection and Labor,data series,World Bank Group,215,41,15d51877-d861-4d25-9bb3-b390e80215f1,"Somalia, Fed. Rep. - Social Protection and Labor",,,,,
Approved,,World Bank - Infrastructure,data series,World Bank Group,217,42,a2fc5ca8-54f2-4b9d-87eb-06e2485c9f5e,"Somalia, Fed. Rep. - Infrastructure",,,,,
Approved,,World Bank - Health,data series,World Bank Group,217,43,a8b3c6b8-e228-499f-be0c-dcbe8f53be03,"Somalia, Fed. Rep. - Health",,,,,
Approved,,World Bank - Environment,data series,World Bank Group,217,44,95ab637c-b24c-4e83-9054-79bf0309b707,"Somalia, Fed. Rep. - Environment",,,,,
Approved,,World Bank - Energy and Mining,data series,World Bank Group,217,45,4093e9b2-cd55-4ce2-8522-03b40a1fdb09,"Somalia, Fed. Rep. - Energy and Mining",,,,,
Approved,,World Bank - Education,data series,World Bank Group,214,46,68a15b8d-e40f-4b31-b2f3-963110e531c8,"Somalia, Fed. Rep. - Education",,,,,
Approved,,World Bank - Aid Effectiveness,data series,World Bank Group,215,47,dc4bf68e-e71c-46f8-8c9d-c253012df4e8,"Somalia, Fed. Rep. - Aid Effectiveness",,,,,
Approved,,World Bank - Agriculture and Rural Development,data series,World Bank Group,217,48,a39212bf-5713-4080-b320-9fd955dfb011,"Somalia, Fed. Rep. - Agriculture and Rural Development",,,,,
Approved,,World Bank - Millenium development goals,data series,World Bank Group,109,37,cd44d6b6-e901-4d67-9c4d-921d6d153162,"Somalia, Fed. Rep. - Millenium development goals",,,,,
Approved,,WOF - Administrative Subdivisions and Human Settlements,data series,Who's On First,8,317,1c3ac5ba-a52e-4ef4-81b6-ed7b320325d3,British Indian Ocean Territory: WOF Administrative Subdivisions and Human Settlements,,,,,
Approved,,World Bank - Economic and Social development,data series,World Bank Group,,35,476c45a3-fd40-4431-bdff-cb1aeb003d76,"Somalia, Fed. Rep. - External Debt",,,,,
Approved,,World Bank - Economic and Social development,data series,World Bank Group,,35,e5adbf65-45ee-43ef-9b4b-aa6bff630957,"Somalia, Fed. Rep. - Science and Technology",,,,,
Approved,,World Bank - Economic and Social development,data series,World Bank Group,,35,14210294-e25b-4789-bb3a-f3e54c8a199c,"Somalia, Fed. Rep. - Public Sector",,,,,
Approved,,World Bank - Economic and Social development,data series,World Bank Group,,35,83b6b8ca-4a8d-4155-bbf0-33ac9ce7f190,"Somalia, Fed. Rep. - Private Sector",,,,,
Approved,,World Bank - Economic and Social development,data series,World Bank Group,,35,bf616d5d-264f-46b5-b858-879d6ddd4edc,"Somalia, Fed. Rep. - Financial Sector",,,,,
Approved,,World Bank - Economic and Social development,data series,World Bank Group,,35,13fb11c4-d90b-40a7-8b21-826f111e2ea0,"Somalia, Fed. Rep. - Economy and Growth",,,,,
